id,openness_to_ai_use_0_reject_100_embrace,educational_outlook_0_harmful_100_beneficial,rationale,review_status
su,65,72,"Defends humanistic mathematical learning while allowing a constructive role for AI-aware education.",provisional
bessis,48,55,"Values mathematical understanding over automated theorem production; educational implications are mixed.",provisional
economist,40,25,"Reports evidence that unguarded AI use can weaken unaided learning.",provisional
yahoo,35,30,"Secondary report foregrounds possible learning losses from student AI use.",provisional
williamson,80,68,"Research optimism implies constructive educational possibilities, though education is not the central focus.",provisional
tao,70,60,"Conditional support for tools alongside verification and preservation of human mathematical practice.",provisional
weinreich,5,15,"Argues for rejecting AI use in mathematics; strongly negative educational implication.",provisional
leiden,45,45,"Permits constrained use only with governance, accountability, and safeguards.",provisional
snakeoil,40,30,"Supports careful, limited deployment because unguarded educational AI can harm learning.",provisional
gowers,60,55,"Allows meaningful AI contribution but emphasizes verification and communication of proof.",provisional
avigad,70,60,"Favors formal tools and responsible adaptation while preserving mathematical understanding.",provisional
wolfram,90,85,"Advocates substantial mathematics-education redesign around computation and AI-era tools.",provisional
tsimerman,90,70,"Expects strong AI impact and urges preparation for a changed mathematical future.",provisional
lecun,80,60,"Generally supports AI progress while recognizing limitations of current language models.",provisional
riehl,65,55,"Supports AI when contribution can be tested and meaningfully verified.",provisional
lanier,65,70,"Sees promise in immersive mathematical visualization but warns against reductive measurement of learners.",provisional
marcus,40,35,"Supports different, more trustworthy AI approaches but is skeptical of current LLM reasoning.",provisional
cepelewicz,70,60,"Reports conditional adoption: practical proof assistance may change practice while human judgment remains central.",provisional
strogatz,65,55,"Frames AI as useful prediction technology whose uncertainty must be quantified.",provisional
carroll,55,55,"Explains mathematical foundations and limitations without arguing for broad educational replacement.",provisional
jaimungal,75,65,"Interview presents AI-assisted mathematical discovery as rapidly expanding but still bounded by verification and intuition.",provisional
hossenfelder,55,55,"Explainer examines claims of AI mathematical breakthroughs; full public transcript remains unavailable.",provisional
keating,65,60,"Tao interview treats AI as a complementary research tool whose outputs require verification.",provisional
