id,author_or_source,title,url,published,scope,source_type,notes
su,Francis Su,"The Enduring Value of Math, in an Age of AI",https://francissu.substack.com/p/the-enduring-value-of-math-in-an,2026-08-20,undergraduate mathematics education,essay,"Humanistic argument; direct page access was limited during initial review."
bessis,David Bessis,"The Fall of the Theorem Economy",https://davidbessis.substack.com/p/the-fall-of-the-theorem-economy,2026-04-21,research mathematics,essay,"AI, mathematical understanding, and conceptual frameworks."
economist,The Economist,"Does AI stop children from learning?",https://www.economist.com/graphic-detail/2026/08/18/does-ai-stop-children-from-learning,2026-08-18,secondary education,news report,"Reports a recent working paper on Chinese secondary students."
yahoo,Yahoo News,"Results on middle and high school students",https://www.yahoo.com/news/science/articles/results-middle-high-school-students-120300584.html,2026,secondary education,news report,"Secondary reporting; avoid treating as independent evidence."
williamson,Geordie Williamson,"Math, AI and intuition",https://www.maths.usyd.edu.au/u/geordie/,2026,research mathematics,talk,"Use a specific talk or transcript if added in a revision."
tao,Terence Tao,"Mathematics in the Age of AI",https://arxiv.org/abs/2608.16753,2026-08-19,research mathematics,ICM essay,"Conditional analysis of mathematical goals and practice."
weinreich,Max Weinreich,"The Crisis of AI-Generated Mathematics",https://arxiv.org/abs/2608.02859,2026-08-03,research mathematics,essay,"Argues for total opposition to AI use in mathematics."
leiden,Leiden Declaration,"Leiden Declaration on Artificial Intelligence and Mathematics",https://leidendeclaration.ai/,2026-06-02,research mathematics,collective declaration,"Governance and policy proposal."
snakeoil,"Arvind Narayanan and Sayash Kapoor","AI Snake Oil",https://www.aisnakeoil.com/,2025,education baseline,book/newsletter,"Not mathematics-specific; retained as a labeled comparison."
gowers,Timothy Gowers,"Gowers's Weblog: AI and mathematics posts",https://gowers.wordpress.com/2025/,2025-2026,research mathematics,blog,"Add a specific post when reviewing its scores."
avigad,Jeremy Avigad,"Mathematicians in the Age of AI",https://arxiv.org/abs/2603.03684,2026,research mathematics,essay,"Formalization and responsible response to AI."
wolfram,Conrad Wolfram,"Fixing Education for the AI Age",https://blogs.lse.ac.uk/maths/2025/06/17/fixing-education-for-the-ai-age-conrad-wolfram/,2025,mathematics education,interview,"Curriculum reform and computational thinking."
tsimerman,Jacob Tsimerman,"Future of research mathematics comments",https://www.theatlantic.com/technology/2026/07/jacob-tsimerman-math-fields-medal-openai/688120/,2026,research mathematics,interview/report,"Future-facing assessment reported by secondary journalism."
lecun,Yann LeCun,"AI and reasoning comments",https://www.brown.edu/news/2026-04-01/yann-lecun-artificial-intelligence-pioneer,2026,broad AI baseline,lecture/report,"Not mathematics-specific; included only as a broad AI comparison."
riehl,Emily Riehl,"Testing Artificial Mathematical Intelligence",https://simons.berkeley.edu/talks/emily-riehl-johns-hopkins-university-2025-04-10,2025,research mathematics,talk,"Mathematics-specific proposal for testing meaningful AI contribution."
lanier,Jaron Lanier,"Facebook and the Extremely Creepy Possibilities for Virtual Reality: An Interview with Jaron Lanier",https://www.thefiscaltimes.com/Articles/2014/04/01/Facebook-and-Extremely-Creepy-Possibilities-Virtual-Reality,2014,mathematics education,interview,"Lanier identifies immersive mathematical visualization as a promising educational use of VR, but the source is not about current generative AI."
marcus,Gary Marcus,"The Uncomfortable Truth About AI “Reasoning”",https://www.worldsciencefestival.com/videos/the-uncomfortable-truth-about-ai-reasoning/,2026,broad AI baseline,interview/video transcript,"Marcus argues that LLMs can fail to generalize recursive reasoning tasks and that plausible output is not robust abstraction. Directly relevant to mathematical reasoning, but not a systematic mathematics-education study."
